Region,Product,Sales,Units,Month,Year
East,Webcam,2834,22,October,2024
Northeast,Mouse,2273,45,November,2023
Northeast,Monitor,14781,57,July,2023
Midwest,Phone,46642,93,April,2022
West,Laptop,78238,97,February,2022
North,Webcam,3885,39,December,2023
Southeast,Printer,23450,78,February,2024
Midwest,Mouse,1400,45,January,2024
Northwest,Speaker,15649,74,February,2022
South,Laptop,84917,105,June,2023
Midwest,Tablet,25105,82,June,2023
North,Phone,44688,88,August,2022
Central,Speaker,21745,105,December,2022
West,Phone,51526,103,November,2022
Northeast,Monitor,25384,101,May,2022
Southwest,Speaker,3219,13,January,2024
Midwest,Keyboard,9167,103,September,2022
Central,Printer,21715,72,March,2024
Northeast,Phone,35320,70,October,2024
Northeast,Speaker,11659,57,August,2022
Southwest,Headphones,16026,104,February,2024
Northwest,Laptop,54130,67,February,2024
Southwest,Tablet,9329,29,July,2024
Southeast,Tablet,27655,90,December,2024
Midwest,Monitor,16258,64,May,2023
West,Printer,31661,103,September,2023
West,Webcam,1600,14,May,2023
Central,Webcam,3914,43,August,2024
West,Mouse,2451,74,January,2023
East,Laptop,63809,79,December,2024
Central,Monitor,13197,52,September,2024
East,Mouse,1007,25,May,2022
North,Monitor,11754,44,September,2023
South,Headphones,12294,79,April,2024
East,Laptop,11246,13,October,2022
Southwest,Tablet,19819,64,January,2024
Southeast,Laptop,52966,66,December,2022
Northwest,Mouse,3767,108,June,2024
South,Webcam,2421,19,July,2022
Central,Laptop,73440,91,January,2022
Central,Phone,14387,27,May,2023
Central,Tablet,22884,75,February,2024
Southwest,Webcam,8717,92,July,2022
Southeast,Laptop,83416,104,March,2022
South,Printer,5227,17,September,2022
Southeast,Headphones,13184,82,April,2024
Southeast,Monitor,12288,47,August,2023
North,Headphones,15595,99,August,2023
Southeast,Mouse,3582,104,September,2024
Northwest,Speaker,17076,85,July,2024
Central,Webcam,4060,39,February,2022
Northeast,Monitor,9395,36,October,2024
East,Keyboard,7098,83,March,2024
North,Webcam,9780,100,February,2024
Midwest,Mouse,1474,18,April,2023
Northwest,Speaker,8409,42,April,2023
West,Mouse,1258,32,July,2023
West,Keyboard,5083,55,February,2023
Southwest,Laptop,58947,73,December,2024
Southeast,Tablet,27233,88,June,2024
South,Monitor,10861,43,September,2023
Northwest,Keyboard,4475,52,December,2024
South,Mouse,2664,65,May,2023
Southwest,Speaker,10482,49,August,2022
Central,Webcam,5835,62,March,2023
West,Monitor,26452,105,June,2023
West,Webcam,6761,68,January,2023
West,Keyboard,2317,22,October,2023
Central,Speaker,10220,48,December,2024
Northeast,Laptop,72975,90,August,2022
East,Monitor,21410,83,December,2023
South,Printer,18354,60,October,2024
Southeast,Keyboard,5308,64,March,2024
Southeast,Laptop,66699,83,January,2024
South,Headphones,13960,90,October,2024
Northwest,Mouse,1794,46,December,2022
Northwest,Mouse,3214,76,May,2024
Southeast,Mouse,2537,67,September,2022
South,Monitor,9820,37,January,2024
Southeast,Webcam,4739,49,June,2023
North,Speaker,5578,26,June,2023
Northeast,Speaker,14309,68,November,2023
West,Laptop,50080,62,April,2023
Central,Tablet,32676,107,September,2024
Central,Phone,52625,105,September,2023
Central,Monitor,3419,12,November,2024
Northeast,Headphones,3140,19,December,2023
Northeast,Speaker,12358,57,December,2024
Central,Phone,43073,86,September,2024
Northwest,Headphones,2465,16,April,2023
South,Laptop,56839,70,July,2024
Central,Laptop,35343,43,April,2023
West,Headphones,16549,107,June,2023
East,Laptop,76338,95,December,2023
Southeast,Headphones,5530,34,December,2022
Northwest,Printer,10861,34,March,2022
Northeast,Mouse,3356,79,November,2024
Northwest,Keyboard,2952,34,March,2023
Southeast,Laptop,87411,109,September,2024
South,Webcam,1530,11,February,2024
North,Monitor,21091,84,August,2024
Northwest,Printer,32527,108,October,2023
East,Printer,20178,65,October,2023
Central,Laptop,83657,104,October,2023
East,Speaker,12393,60,March,2022
Southeast,Monitor,22719,90,January,2023
South,Speaker,5965,29,March,2024
Midwest,Webcam,9553,101,September,2022
Southwest,Phone,18117,35,April,2023
Midwest,Laptop,10226,12,September,2024
Northwest,Laptop,20282,25,October,2023
South,Laptop,47763,59,February,2022
Midwest,Mouse,1241,16,July,2022
South,Headphones,12074,75,March,2024
North,Mouse,2158,52,March,2023
Southwest,Tablet,14837,48,October,2023
South,Mouse,1566,52,January,2023
Midwest,Phone,7801,15,October,2024
Northwest,Phone,17542,34,March,2023
Midwest,Mouse,2521,72,November,2022
Northwest,Phone,11179,22,December,2024
Northeast,Phone,9330,17,April,2024
Northwest,Keyboard,5920,74,August,2022
East,Webcam,1815,10,July,2023
Midwest,Keyboard,6670,78,January,2022
West,Phone,11795,23,May,2022
Northwest,Monitor,18588,72,May,2023
Southeast,Monitor,4343,16,July,2024
Southwest,Mouse,1039,26,April,2024
Central,Keyboard,7440,93,October,2024
Northwest,Mouse,4112,106,November,2024
West,Monitor,13234,50,July,2022
South,Webcam,2515,27,January,2022
Central,Monitor,11846,47,September,2023
South,Laptop,63593,79,November,2024
East,Webcam,3369,27,December,2024
Southeast,Mouse,2090,55,March,2022
Southeast,Laptop,72636,90,November,2023
North,Mouse,1578,52,February,2024
Southeast,Printer,4589,14,January,2022
Southeast,Laptop,81082,101,June,2022
Southeast,Printer,10431,32,August,2022
Southeast,Tablet,23937,79,July,2023
Southeast,Tablet,24202,80,October,2023
Southwest,Headphones,15976,105,May,2022
East,Monitor,10408,41,October,2024
East,Mouse,3422,86,April,2023
North,Keyboard,8167,93,June,2022
Northeast,Printer,20042,64,April,2022
North,Mouse,2568,68,March,2023
East,Phone,33155,66,November,2023
Central,Speaker,9900,49,December,2024
Southwest,Keyboard,2356,18,September,2023
Midwest,Printer,15048,48,May,2024
Central,Laptop,50921,63,December,2022
North,Speaker,21381,103,July,2024
Southwest,Tablet,7202,21,January,2023
South,Laptop,30497,37,October,2023
Southwest,Monitor,16340,65,October,2023
East,Speaker,17099,83,March,2022
Northeast,Phone,20117,40,August,2024
Northeast,Tablet,9682,31,May,2024
North,Keyboard,8664,107,May,2023
Southeast,Mouse,2702,66,March,2024
Central,Monitor,19200,75,December,2024
Southwest,Laptop,76737,95,December,2022
North,Speaker,12376,61,February,2023
Northwest,Monitor,19030,76,June,2022
Central,Monitor,19502,75,March,2022
Midwest,Laptop,46510,58,December,2024
Southeast,Headphones,4162,25,October,2022
North,Mouse,2624,69,June,2022
North,Headphones,3067,17,February,2024
Central,Headphones,8626,51,April,2023
Northwest,Webcam,8945,93,July,2023
Northwest,Monitor,11841,47,November,2024
North,Keyboard,6946,83,July,2022
Central,Keyboard,5445,62,September,2022
Southeast,Monitor,8564,33,June,2022
Midwest,Speaker,9328,46,November,2024
Southwest,Mouse,1668,54,April,2024
East,Phone,12546,25,November,2023
Southwest,Webcam,1836,13,March,2024
Southeast,Monitor,19234,75,April,2024
Southwest,Webcam,9341,102,June,2022
Central,Keyboard,4857,59,September,2022
Southwest,Webcam,4051,45,April,2024
Northeast,Monitor,18102,72,May,2022
Southeast,Webcam,7276,78,January,2023
West,Webcam,3396,34,February,2024
Northeast,Keyboard,9297,107,June,2023
Central,Phone,14795,29,June,2024
Northeast,Monitor,23411,93,November,2022
North,Keyboard,7176,79,April,2022
Northeast,Headphones,12759,79,April,2023
Southwest,Webcam,1137,11,March,2024
Midwest,Headphones,4719,28,September,2022
East,Mouse,3779,104,June,2023
Northwest,Tablet,27026,90,September,2024
Southeast,Mouse,3394,101,September,2023
West,Keyboard,3965,43,March,2023
South,Monitor,22502,89,January,2024
West,Tablet,13839,46,April,2024
Southeast,Keyboard,2872,33,February,2022
Southeast,Keyboard,5393,63,March,2022
Southwest,Phone,22637,44,July,2023
Northeast,Mouse,2361,74,March,2022
West,Laptop,17318,21,December,2023
Northeast,Phone,49418,97,May,2022
East,Webcam,7800,81,January,2022
Midwest,Printer,9969,33,December,2022
Central,Webcam,7476,79,April,2024
North,Headphones,14693,96,January,2024
Central,Laptop,60547,75,July,2022
Southeast,Laptop,81784,102,February,2022
Northeast,Speaker,16400,79,July,2023
East,Speaker,5572,27,August,2022
Central,Speaker,18148,86,September,2024
East,Webcam,1607,16,October,2023
Southwest,Monitor,8804,34,February,2024
Southeast,Mouse,1006,13,September,2023
East,Keyboard,6582,80,November,2022
Northeast,Phone,25682,50,September,2024
South,Keyboard,3683,37,March,2022
North,Tablet,9940,33,September,2023
East,Laptop,30751,38,October,2023
East,Mouse,2385,58,October,2024
West,Speaker,19559,94,April,2023
West,Speaker,9527,44,November,2024
Southeast,Phone,22233,44,January,2022
West,Speaker,9504,46,November,2023
North,Mouse,513,12,February,2023
Northwest,Keyboard,5687,71,June,2024
Northeast,Laptop,49620,61,August,2023
Northwest,Tablet,24675,82,May,2023
North,Headphones,16379,103,July,2023
Southwest,Keyboard,4215,42,July,2023
West,Mouse,3016,82,October,2024
Southwest,Headphones,10962,69,May,2022
Southwest,Phone,36438,71,September,2023
Southeast,Monitor,18856,72,June,2022
South,Mouse,2741,66,August,2022
North,Tablet,24732,82,June,2024
Northeast,Phone,15738,30,May,2023
East,Keyboard,9092,103,April,2022
Midwest,Webcam,7790,85,September,2023
Southwest,Headphones,3391,16,November,2024
North,Tablet,23393,75,September,2022
Southeast,Speaker,19150,94,May,2024
Southeast,Monitor,22552,88,February,2023
Southeast,Printer,29786,96,August,2024
North,Mouse,1318,30,July,2024
East,Webcam,2178,21,May,2024
Midwest,Monitor,23914,94,January,2022
West,Printer,29203,95,June,2022
South,Speaker,8060,36,January,2024
Southwest,Phone,29520,58,May,2022
Central,Webcam,9126,95,August,2023
Northwest,Printer,22372,73,November,2023
Northeast,Webcam,9878,100,March,2022
South,Keyboard,2687,30,November,2022
South,Speaker,20873,104,November,2024
Southeast,Webcam,2802,25,October,2023
Midwest,Webcam,3692,35,November,2023
Southeast,Speaker,4103,18,April,2022
Midwest,Speaker,5897,25,November,2024
South,Phone,19516,38,August,2024
Midwest,Laptop,52173,64,February,2024
North,Webcam,1716,12,January,2024
North,Speaker,7321,33,October,2024
Northwest,Speaker,3786,17,February,2023
North,Laptop,16688,20,September,2022
East,Keyboard,3232,33,June,2024
East,Laptop,30926,38,November,2024
South,Phone,24403,47,August,2023
Northwest,Printer,8055,26,March,2022
North,Webcam,3513,32,December,2023
Central,Speaker,14878,74,October,2023
Central,Keyboard,9239,106,February,2023
Midwest,Speaker,9639,46,October,2022
Northwest,Speaker,15060,71,February,2023
Northwest,Keyboard,5986,66,March,2024
Southwest,Monitor,25259,101,December,2023
Midwest,Speaker,5688,25,February,2024
Central,Mouse,3294,78,February,2023
North,Speaker,19939,99,April,2022
North,Phone,43529,87,April,2023
South,Webcam,6251,61,July,2022
Southwest,Laptop,41384,51,November,2022
South,Mouse,3332,92,February,2022
Northeast,Headphones,13601,85,August,2024
East,Mouse,3652,108,July,2023
West,Phone,12956,24,July,2022
South,Phone,39149,78,May,2022
North,Printer,18179,58,April,2024
North,Headphones,4628,25,January,2022
West,Printer,13833,45,April,2024
Midwest,Speaker,8946,41,March,2023
East,Laptop,26686,33,March,2022
Midwest,Speaker,15680,74,November,2022
Southeast,Mouse,2478,57,January,2023
Northeast,Tablet,32572,106,September,2023
Central,Tablet,32222,105,May,2024
South,Webcam,5976,61,August,2022
Southeast,Laptop,34570,42,November,2022
Central,Phone,27264,54,June,2023
Northwest,Headphones,7916,50,July,2022
South,Headphones,16642,109,December,2022
East,Printer,10577,35,September,2022
Southeast,Speaker,6826,30,August,2024
North,Speaker,7469,35,June,2024
Central,Keyboard,7306,83,July,2024
West,Printer,17488,56,July,2023
South,Mouse,2458,60,March,2022
Central,Tablet,28914,96,April,2022
Southwest,Mouse,3374,93,July,2022
North,Monitor,24883,98,December,2024
South,Monitor,19778,77,August,2022
Southwest,Webcam,7080,74,October,2023
North,Mouse,2544,66,April,2023
Midwest,Mouse,3390,83,May,2024
North,Headphones,13741,90,October,2023
Midwest,Laptop,87165,108,August,2022
Midwest,Printer,30213,99,August,2024
North,Phone,6666,12,July,2022
East,Tablet,5860,18,June,2022
East,Speaker,7690,36,June,2022
Central,Webcam,4674,49,April,2023
Northwest,Webcam,8456,89,September,2022
North,Laptop,10518,13,October,2022
Midwest,Laptop,81913,102,July,2024
West,Webcam,6719,64,March,2023
Southwest,Tablet,14921,47,June,2022
Midwest,Printer,8530,26,November,2024
South,Printer,20189,66,January,2023
North,Monitor,11935,45,September,2022
Northeast,Printer,26372,85,February,2022
East,Keyboard,7976,98,May,2022
Southwest,Mouse,1486,33,August,2023
South,Headphones,12067,79,December,2023
Central,Tablet,9492,30,September,2023
West,Mouse,2507,71,April,2022
Northwest,Headphones,15787,105,October,2022
Central,Printer,8917,27,January,2023
Southwest,Monitor,28209,109,September,2022
East,Printer,32887,108,April,2024
Central,Phone,6828,12,September,2022
East,Keyboard,1052,11,May,2023
Northwest,Tablet,25243,82,January,2022
South,Monitor,17043,66,February,2024
East,Keyboard,7313,79,August,2022
East,Mouse,1942,64,October,2024
Northwest,Webcam,1354,15,April,2024
Northwest,Monitor,9022,35,February,2024
West,Webcam,2469,24,May,2022
Central,Mouse,3895,100,November,2024
South,Speaker,9498,45,March,2023
East,Tablet,28651,93,January,2023
Southeast,Laptop,8843,11,November,2023
East,Keyboard,6393,76,October,2023
Northwest,Monitor,3851,14,June,2022
North,Headphones,7463,46,March,2023
Southeast,Phone,28814,57,May,2022
East,Laptop,68484,85,December,2023
East,Laptop,25722,32,February,2022
Northeast,Monitor,18612,72,June,2024
Northeast,Speaker,10602,49,September,2022
West,Webcam,6712,64,January,2022
Southeast,Webcam,9391,100,June,2022
Central,Mouse,1896,32,August,2022
Northeast,Tablet,8467,27,October,2023
Southwest,Tablet,7155,21,December,2024
North,Webcam,7424,81,February,2023
East,Mouse,1600,48,January,2022
East,Headphones,11958,74,June,2023
Central,Mouse,657,11,August,2024
South,Tablet,26141,85,July,2023
West,Headphones,14673,97,November,2024
Midwest,Laptop,75537,94,August,2023
East,Keyboard,5539,64,September,2022
Midwest,Headphones,11661,77,December,2022
Northwest,Printer,25408,82,March,2022
East,Speaker,12740,59,September,2022
South,Printer,7522,23,March,2024
North,Phone,53132,105,February,2024
Northeast,Printer,16670,53,June,2022
Central,Mouse,2630,85,September,2024
South,Tablet,25337,84,October,2023
Southwest,Phone,45159,89,May,2024
Northeast,Printer,20429,67,December,2023
West,Printer,24985,81,January,2024
Northeast,Phone,26794,52,December,2022
Southeast,Monitor,19842,77,September,2023
Southwest,Tablet,20245,65,September,2024
South,Speaker,10100,46,March,2023
North,Webcam,5217,57,April,2022
Midwest,Speaker,17098,84,April,2024
Northeast,Printer,8884,27,October,2023
East,Webcam,1514,14,August,2022
East,Tablet,32289,107,June,2022
West,Monitor,10154,39,May,2024
West,Mouse,2181,56,August,2022
Central,Printer,25284,84,November,2024
North,Monitor,4955,16,December,2022
South,Phone,47224,93,February,2022
North,Headphones,14897,96,August,2024
Southeast,Mouse,1512,47,April,2023
East,Monitor,4580,17,February,2022
Midwest,Printer,27096,89,December,2024
West,Keyboard,9628,109,February,2023
Southeast,Keyboard,5024,52,December,2022
East,Phone,52269,104,June,2024
Southwest,Speaker,11925,56,September,2024
Southwest,Tablet,29841,99,August,2022
Midwest,Phone,38425,76,February,2023
Midwest,Monitor,19858,76,July,2022
Southeast,Phone,26816,52,January,2023
Northwest,Phone,23824,46,April,2024
Northwest,Laptop,9313,11,May,2022
South,Speaker,13568,67,March,2024
East,Headphones,8234,54,January,2022
Northeast,Headphones,12199,81,June,2022
Central,Keyboard,6851,81,June,2024
Northwest,Tablet,20474,65,February,2023
East,Speaker,9203,44,May,2024
Central,Tablet,17180,57,October,2024
Central,Printer,3916,11,July,2024
East,Tablet,7266,22,January,2023
Southeast,Phone,49164,97,July,2023
East,Mouse,2862,89,April,2024
North,Keyboard,5473,67,March,2022
Southwest,Printer,23820,79,December,2024
Northwest,Keyboard,3092,29,November,2024
North,Phone,19078,37,August,2022
Northeast,Monitor,20765,83,December,2023
South,Printer,7432,23,February,2022
Northeast,Laptop,72850,91,November,2023
Southeast,Mouse,3645,100,December,2024
East,Speaker,10864,52,July,2024
West,Monitor,27003,108,November,2024
Central,Webcam,4531,44,December,2023
Southeast,Monitor,10015,40,June,2023
West,Tablet,22813,76,February,2023
East,Webcam,9315,94,November,2022
East,Webcam,6412,66,December,2022
Northwest,Keyboard,6847,76,March,2024
Northeast,Speaker,7569,36,January,2022
West,Mouse,2710,70,May,2022
Southwest,Speaker,19164,94,September,2024
Northeast,Monitor,14655,58,April,2022
North,Printer,14818,49,November,2022
Northeast,Printer,8060,25,May,2022
South,Webcam,7099,71,June,2024
Northeast,Mouse,2709,73,October,2024
Northwest,Webcam,10204,108,September,2024
East,Monitor,7668,27,July,2024
South,Speaker,18632,91,October,2022
Northeast,Laptop,35782,44,January,2023
Northwest,Monitor,16796,64,December,2024
South,Phone,45666,91,October,2023
East,Keyboard,8170,90,September,2022
South,Laptop,53603,67,April,2023
Northwest,Speaker,14085,70,September,2023
North,Laptop,73759,92,April,2022
South,Printer,8192,27,January,2024
Midwest,Keyboard,6664,77,August,2023
East,Keyboard,3613,44,February,2024
North,Mouse,2701,81,November,2022
Southeast,Mouse,3333,79,April,2022
North,Mouse,3546,85,July,2022
Central,Printer,26095,84,March,2024
North,Mouse,1184,20,December,2023
North,Laptop,52593,65,June,2023
Northwest,Mouse,1436,47,November,2023
Midwest,Laptop,64604,80,April,2022
South,Printer,17698,56,February,2022
South,Mouse,868,17,May,2024
Northwest,Printer,29724,96,August,2023
North,Printer,7620,25,June,2022
Southwest,Monitor,27532,109,November,2022
Midwest,Webcam,10386,107,July,2022
North,Speaker,4788,21,May,2023
North,Monitor,11197,41,December,2023
Central,Printer,26947,87,February,2023
Central,Mouse,1519,33,March,2022
Southeast,Phone,23741,46,July,2024
Northwest,Monitor,24727,95,June,2023
West,Mouse,2446,68,March,2024
North,Phone,37875,74,February,2022
South,Keyboard,7252,88,November,2022
Northwest,Keyboard,2651,24,April,2024
Midwest,Printer,21526,71,September,2024
South,Speaker,18282,90,September,2023
Northwest,Keyboard,5931,66,January,2023
Southwest,Phone,9776,19,June,2022
West,Mouse,1587,43,May,2022
Southwest,Laptop,74837,93,November,2022
West,Webcam,5747,56,November,2024
Southeast,Printer,20122,65,October,2023
Central,Keyboard,5810,70,September,2022
Central,Phone,35445,69,December,2022
East,Phone,30983,61,March,2022
East,Phone,53589,107,November,2024
Midwest,Phone,24415,48,May,2023
North,Webcam,5827,58,December,2022
Northwest,Phone,24370,48,September,2023
Northwest,Webcam,9276,102,May,2023
Southeast,Printer,21606,70,May,2024
East,Keyboard,1208,11,March,2023
West,Speaker,17793,87,July,2023
Midwest,Tablet,23476,77,February,2023
Northwest,Tablet,25651,84,April,2022
West,Mouse,2470,69,July,2022
South,Printer,17442,58,November,2022
South,Webcam,4963,55,May,2024
Southeast,Monitor,20081,78,August,2024
South,Mouse,1970,59,March,2024
South,Laptop,14423,18,February,2024
Northwest,Tablet,29024,94,April,2024
Southwest,Laptop,39117,48,March,2023
Central,Keyboard,4263,53,January,2024
East,Laptop,52459,65,July,2022
Southeast,Keyboard,3154,27,December,2022
Central,Monitor,26692,105,January,2023
West,Tablet,25832,84,December,2022
Southeast,Mouse,4072,104,April,2023
North,Laptop,10298,12,November,2023
Midwest,Phone,21256,42,August,2023
Northwest,Tablet,29101,94,February,2023
Midwest,Mouse,848,22,July,2022
Southeast,Laptop,42093,52,January,2023
South,Phone,10484,20,September,2023
East,Tablet,24434,81,September,2024
East,Mouse,3554,107,May,2024
Southeast,Laptop,85603,107,May,2022
Northeast,Speaker,5899,29,August,2022
Midwest,Printer,32791,109,December,2024
Southeast,Phone,30329,60,July,2024
North,Laptop,33380,41,July,2024
Southwest,Speaker,8170,36,June,2022
Central,Webcam,3225,26,January,2023
Midwest,Speaker,13718,68,April,2022
Southwest,Printer,30558,100,June,2023
North,Printer,10899,36,June,2022
Midwest,Tablet,10869,34,February,2022
South,Keyboard,2388,18,October,2023
West,Printer,32471,108,April,2023
Southeast,Speaker,2900,12,April,2023
Southwest,Speaker,9693,45,November,2022
East,Headphones,9248,58,October,2022
North,Printer,28093,91,August,2022
Southwest,Monitor,14002,53,December,2023
Northeast,Tablet,32636,107,March,2023
West,Phone,23132,46,November,2022
West,Keyboard,814,10,June,2023
Southeast,Laptop,38609,48,October,2022
South,Monitor,10051,40,December,2022
Northwest,Monitor,20080,79,February,2022
West,Webcam,7694,83,December,2023
Southeast,Monitor,21395,82,July,2024
North,Webcam,1898,13,October,2022
South,Phone,53906,106,July,2023
West,Mouse,2694,69,August,2024
Midwest,Speaker,7950,36,January,2024
East,Printer,4827,14,September,2022
East,Webcam,7332,74,December,2023
Central,Keyboard,4371,45,March,2023
Midwest,Mouse,1365,45,February,2024
North,Webcam,7112,78,November,2024
Midwest,Keyboard,3548,40,May,2024
Northwest,Headphones,14785,97,August,2022
South,Speaker,20616,99,March,2022
Southwest,Printer,7867,24,August,2023
Southeast,Phone,42283,83,April,2022
Southeast,Keyboard,8461,101,August,2024
Midwest,Keyboard,8966,108,June,2022
Northeast,Keyboard,1900,15,December,2023
Midwest,Headphones,11471,74,June,2022
East,Monitor,13506,54,June,2024
West,Headphones,3626,23,January,2024
West,Mouse,575,10,March,2022
Northeast,Keyboard,3366,35,August,2023
West,Laptop,45561,56,July,2023
Southwest,Laptop,85707,107,November,2022
Southeast,Webcam,1903,21,September,2024
North,Tablet,26511,86,May,2023
South,Speaker,14909,74,February,2022
Northwest,Keyboard,5423,58,May,2022
Midwest,Keyboard,2790,27,May,2024
South,Headphones,15622,99,December,2022
South,Phone,39835,78,June,2024
West,Mouse,2896,92,May,2023
North,Mouse,2354,58,September,2023
Southwest,Keyboard,2365,19,January,2024
Midwest,Keyboard,3269,30,June,2022
Midwest,Printer,18554,61,January,2022
Northwest,Webcam,3090,32,March,2022
Southeast,Headphones,11848,76,January,2022
Northeast,Laptop,50965,63,October,2023
Northwest,Mouse,663,22,August,2023
Northeast,Headphones,13099,83,September,2024
North,Tablet,21198,70,July,2024
Midwest,Monitor,11924,45,January,2024
North,Tablet,12731,41,May,2024
South,Headphones,8024,49,March,2024
Northeast,Keyboard,4757,51,December,2022
Southeast,Headphones,6564,41,October,2023
North,Laptop,73581,91,August,2024
Southwest,Speaker,6429,30,September,2024
Southwest,Phone,36212,72,September,2023
Northeast,Keyboard,3131,27,June,2024
Northeast,Headphones,10609,67,May,2023
North,Headphones,13428,89,November,2023
West,Tablet,30072,98,January,2023
Midwest,Keyboard,7017,82,January,2023
Northwest,Speaker,4869,23,May,2024
Northwest,Phone,27516,54,September,2024
East,Mouse,1911,39,September,2023
Southwest,Webcam,8714,92,September,2023
Southwest,Keyboard,8349,93,June,2022
South,Mouse,2483,72,October,2024
East,Speaker,12922,61,May,2023
South,Webcam,7003,73,May,2024
West,Speaker,4680,22,August,2023
South,Phone,34514,69,March,2022
Central,Keyboard,8259,99,April,2024
Northwest,Headphones,14386,92,April,2024
Central,Printer,17970,59,May,2024
North,Speaker,9835,49,February,2024
East,Phone,50789,100,October,2022
North,Laptop,71851,89,April,2022
West,Mouse,3508,106,October,2024
West,Laptop,60948,76,January,2022
Southeast,Phone,13844,27,August,2024
Northwest,Keyboard,6459,71,August,2024
Northeast,Printer,29319,96,September,2023
South,Monitor,23841,95,October,2023
Midwest,Webcam,6468,70,July,2024
North,Tablet,23771,76,July,2024
South,Monitor,7788,29,September,2022
East,Laptop,35378,44,August,2022
South,Printer,27805,91,March,2022
Southwest,Tablet,26061,86,January,2023
Northeast,Mouse,3003,67,July,2022
Southeast,Headphones,15207,96,June,2022
East,Webcam,2482,17,October,2022
Northwest,Monitor,2822,11,August,2023
Southeast,Speaker,3528,17,October,2022
North,Laptop,64348,80,November,2024
South,Headphones,16193,106,June,2023
Central,Printer,6867,21,May,2024
Northeast,Monitor,24637,96,December,2024
Midwest,Printer,27330,89,April,2022
Southeast,Laptop,82368,102,August,2024
Midwest,Mouse,2163,39,November,2022
Central,Laptop,40381,50,April,2023
East,Headphones,3168,15,December,2023
Southwest,Monitor,7994,29,June,2023
South,Printer,9435,29,September,2022
Southwest,Headphones,5409,35,August,2023
Southwest,Phone,37080,73,August,2022
Central,Phone,49030,98,September,2024
Northwest,Mouse,3561,107,May,2022
Midwest,Webcam,5964,60,September,2022
Southeast,Speaker,20009,97,March,2022
Southeast,Webcam,9301,101,February,2024
Southeast,Speaker,10645,49,May,2023
Northwest,Mouse,735,22,July,2023
Southwest,Monitor,28236,109,November,2022
Central,Speaker,9734,46,September,2023
Central,Laptop,52849,66,February,2022
Central,Printer,30396,98,August,2023
Central,Speaker,18116,88,June,2023
Midwest,Phone,23960,47,September,2023
South,Mouse,2522,66,March,2024
South,Keyboard,5659,68,March,2023
North,Tablet,13720,45,January,2023
South,Printer,20516,68,September,2024
West,Headphones,13020,86,October,2023
Central,Headphones,16773,109,June,2023
Southwest,Laptop,14646,18,September,2022
East,Monitor,7626,28,July,2024
Central,Laptop,75434,94,March,2023
Northeast,Headphones,7095,41,July,2023
Central,Headphones,7653,50,November,2023
Northwest,Webcam,5435,58,October,2023
West,Headphones,14948,96,April,2022
South,Monitor,14990,56,November,2023
South,Printer,26770,88,May,2023
South,Printer,10661,35,August,2023
West,Laptop,15362,19,May,2023
Northwest,Webcam,8852,95,October,2023
Northwest,Keyboard,3445,35,November,2022
Central,Keyboard,5460,60,September,2022
North,Speaker,10507,49,August,2024
Central,Speaker,18550,89,August,2024
Midwest,Phone,33364,65,November,2023
Central,Mouse,1551,46,May,2024
East,Phone,28439,55,July,2022
Northwest,Monitor,8641,33,August,2022
Northwest,Webcam,8035,82,November,2022
Southwest,Tablet,23565,76,March,2022
Central,Monitor,5269,20,April,2022
Northeast,Printer,24672,81,July,2024
North,Tablet,3316,10,July,2022
Southeast,Tablet,26713,87,May,2022
Southwest,Headphones,6918,40,July,2022
Southwest,Keyboard,3295,33,May,2024
Southwest,Tablet,27363,91,September,2023
North,Webcam,1999,12,March,2022
Southeast,Laptop,86573,108,October,2024
South,Laptop,53616,66,May,2022
Central,Keyboard,2800,33,May,2022
Southwest,Keyboard,7634,88,March,2022
Northeast,Mouse,2072,55,October,2024
South,Mouse,1217,25,October,2022
Southwest,Keyboard,5077,57,March,2024
Southeast,Tablet,28171,91,September,2024
South,Keyboard,3102,32,March,2022
Southeast,Keyboard,3493,39,August,2024
South,Speaker,17310,83,December,2023
East,Headphones,12932,80,April,2023
Midwest,Monitor,3733,12,September,2024
Southeast,Phone,52684,104,May,2023
West,Speaker,4540,21,April,2024
Northeast,Monitor,15795,61,July,2023
North,Tablet,29084,95,January,2023
Northwest,Keyboard,1509,11,May,2023
Northwest,Keyboard,6809,82,June,2022
West,Keyboard,8963,105,May,2023
Southwest,Mouse,2274,58,April,2024
Southwest,Printer,22747,75,February,2023
North,Tablet,28588,93,January,2024
North,Laptop,46602,58,February,2023
Southwest,Webcam,4572,50,February,2022
East,Webcam,7101,76,April,2024
Southeast,Monitor,10035,40,July,2023
Southeast,Laptop,50936,63,July,2024
West,Printer,12084,37,October,2023
East,Mouse,2612,67,December,2024
Northwest,Webcam,2731,28,April,2023
Southwest,Tablet,25115,81,February,2022
North,Tablet,15430,50,November,2022
Northeast,Laptop,58844,73,February,2024
South,Monitor,4820,18,November,2022
North,Monitor,3411,11,October,2023
South,Webcam,6288,68,October,2024
West,Mouse,2161,50,December,2022
South,Webcam,10070,108,March,2024
East,Webcam,7168,75,October,2022
Northwest,Monitor,13741,51,May,2023
North,Webcam,2831,24,November,2022
Midwest,Phone,16319,32,February,2022
West,Tablet,26087,85,May,2023
East,Headphones,12215,78,September,2023
North,Keyboard,2578,32,January,2023
West,Printer,26136,87,August,2023
Northeast,Phone,42305,83,December,2023
